Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1564766729000,00:19:e0:a0:d7:fa,-49,hanak,14.31762853,48.8127922,14,[WEP][ESS],,62437
969726852000,00:19:e0:a5:90:6c,-65,Smajdak net,14.31004391,48.80074616,23,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,82447
1564766623000,00:19:e0:f8:11:82,-68,ruschakova.opnt,14.31694034,48.81206387,5,[WEP][ESS],,62437
969785306000,00:19:e0:f8:24:ac,-67,STARNET.Nuskova,14.31304654,48.8056444,10,[WEP][ESS],,32422
969721381000,00:19:e0:f9:35:f0,-83,peace,14.32536734,48.81001566,145,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
969726688000,00:19:e0:f9:d1:3c,-82,burgerova.opnt,14.30691235,48.80068206,45,[WEP][ESS],,62437
970226572000,00:1a:2b:3c:ff:02,-68,kocka2011,14.47180181,48.9764447,47,[WPA2-PSK-CCMP][WPS][ESS],,112462
969785617000,00:1a:8c:a1:b1:22,-61,KAP1,14.31786719,48.80711026,13,[WPA2-PSK-CCMP][ESS],,132472
969785617000,00:1a:8c:a1:b1:23,-62,KAP1-free,14.31786719,48.80711026,13,[WPA2-PSK-CCMP][ESS],,132472
969785621000,00:1a:8c:a1:b1:2a,-89,KAP1,14.31790789,48.80709785,13,[WPA2-PSK-CCMP][ESS],,-5180
969785621000,00:1a:8c:a1:b1:2b,-89,KAP1-free,14.31790789,48.80709785,13,[WPA2-PSK-CCMP][ESS],,-5180
969785622000,00:1a:8c:ab:19:61,-53,KAP1,14.31791708,48.80709957,13,[WPA2-PSK-CCMP][ESS],,112462
969785622000,00:1a:8c:ab:19:62,-54,KAP1-free,14.31791708,48.80709957,13,[WPA2-PSK-CCMP][ESS],,112462
1565604226000,00:1a:ef:41:b5:7c,-72,,14.4767401,48.55861386,4,[WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565605717000,00:1b:2f:5b:7f:68,-88,Asma_Alkomy,14.32475545,48.32979758,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,112462
1565604265000,00:1b:2f:61:06:3e,-76,fswnet,14.47995375,48.55503152,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
1565606626000,00:1b:90:57:31:40,-83,ISS-Guest,14.28102174,48.21303112,3,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],,12412
1565606627000,00:1b:90:57:31:41,-82,ssid4portal,14.28077743,48.21292014,3,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],,12412
1565606626000,00:1b:90:57:31:42,-86,,14.28102174,48.21303112,3,[WPA2-PSK-CCMP][ESS],,12412
1565776734000,00:1c:10:13:9d:0c,-87,linksys,13.78719564,47.91267008,5,[ESS],,112462
969722154000,00:1c:10:9a:2d:b1,-81,RFWCK,14.31989245,48.80977566,47,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,62437
1565604279000,00:1c:10:a9:1c:3c,-86,wegrath,14.48248425,48.55373622,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,112462
1565605939000,00:1c:d7:36:22:84,-80,Audi19401,14.30505925,48.31594106,3,[WPA2-PSK-CCMP][ESS],,12412
1565610692000,00:1c:d7:49:51:02,-87,Audi20689,13.76485247,47.89857135,9,[WPA2-PSK-CCMP][ESS],,12412
1565606204000,00:1c:d7:4e:e0:eb,-86,Audi64530,14.30180165,48.2809991,58,[WPA2-PSK-CCMP][ESS],,12412
1565610912000,00:1c:d7:5d:11:ee,-81,Audi16474,13.76483424,47.89856985,10,[WPA2-PSK-CCMP][ESS],,12412
1565608057000,00:1c:d7:5f:0e:8b,-88,Audi33966,13.90635867,48.00523521,4,[WPA2-PSK-CCMP][ESS],,12412
1565608424000,00:1c:d7:86:6a:97,-89,Audi06752,13.7762609,47.98465679,4,[WPA2-PSK-CCMP][ESS],,12412
1565776788000,00:1c:f0:54:f5:e1,-72,UGN,13.79391513,47.91587181,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,82447
969795064000,00:1c:f0:87:d0:3c,-62,Egon,14.31473575,48.81026556,32,[WEP][ESS],,62437
970226900000,00:1d:0f:d3:62:98,-79,TP-LINK,14.4706459,48.98066768,46,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,22417
1565600032000,00:1d:0f:e2:75:30,-20,Home,14.31110634,48.80081763,25,[WPA-PSK-CCMP][ESS],,112462
1565597600000,00:1d:0f:e4:49:12,-68,STARNET-Stasek,14.31064903,48.80090715,31,[WEP][ESS],,132472
969726659000,00:1d:0f:e4:49:2c,-84,Starnet-Vejvoda,14.30698007,48.80024007,17,[WPA2-PSK-CCMP-preauth][ESS],,62437
969726888000,00:1d:0f:e7:a8:42,-69,hron .opnt,14.31107485,48.80124538,26,[WPA2-PSK-CCMP-preauth][ESS],,62437
969784908000,00:1d:0f:e7:b7:b6,-67,STARNET-xxx,14.30954124,48.80183928,90,[WEP][ESS],,32422
970226900000,00:1d:0f:ee:8e:0e,-73,TP-LINK,14.4706459,48.98066768,46,[ESS],,32422
969726304000,00:1d:0f:f0:a4:a0,-81,janousek.opnt,14.30611053,48.8016969,47,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
1565601038000,00:1d:0f:f1:ea:ce,-80,Starnet Jiri,14.31142061,48.79950574,7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
969785311000,00:1d:0f:f1:ee:36,-74,Bawor,14.31311508,48.80564768,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,32422
1565776790000,00:1d:68:0c:27:6f,-72,ThomsonF43A29,13.79418236,47.9159606,12,[WPA-PSK-TKIP][WPS][ESS],,12412
1565604231000,00:1d:68:6c:43:4d,-83,Thomson78E3F1,14.47695986,48.55821647,3,[WPA-PSK-TKIP][WPS][ESS],,62437
1565776536000,00:1d:7e:26:66:9e,-82,linksys_buero,13.76532556,47.89646141,11,[WPA2-PSK-CCMP-preauth][ESS],,112462
1565609294000,00:1d:7e:3a:30:89,-87,wolf,13.76699175,47.90110117,4,[WEP][ESS],,62437
1565776929000,00:1d:7e:42:fc:62,-77,cam3,13.8002462,47.91843217,6,[WEP][ESS],,42427
1565604301000,00:1d:7e:e3:47:65,-77,zil2,14.48518556,48.55056338,3,[WPA-PSK-TKIP][ESS],,112462
969794943000,00:1d:aa:70:bc:48,-59,FOKUSoptik,14.31521361,48.81151226,44,[WPA2-PSK-CCMP][WPS][ESS],,62437
970226572000,00:1d:c9:08:2d:09,-79,REMOTE87bvvm,14.47180181,48.9764447,47,[WPA2-PSK-CCMP][ESS],,32422
1565606403000,00:1d:d1:8e:3e:20,-78,Liwest3E22,14.29712784,48.25082512,5,[WPA2-PSK-CCMP][WPS][ESS],,62437
1565605869000,00:1d:d1:90:b4:c0,-81,LiwestB4C2,14.29577107,48.32147822,6,[WPA2-PSK-CCMP][WPS][ESS],,12412
1565605853000,00:1d:d1:99:6c:10,-86,Coco,14.29659948,48.3234879,3,[WPA2-PSK-CCMP][WPS][ESS],,12412
